date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
22:48:14	5232/5232	---M-Z	404	error ('Not%20Found')	text/html	etag:W/%225c1d106f-247b%22	https://levytsroman.github.io/robots.txt		(from )
22:48:14	5751/5751	---M-Z	200	added ('OK')	text/html	etag:W/%225be20e14-1677%22	https://levytsroman.github.io/	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/levytsroman.github.io/index.html	(from )
22:48:16	44130/44130	---MC-	200	added ('OK')	text/javascript	date:Wed,%2016%20Jan%202019%2020:01:45%20GMT	https://www.google-analytics.com/analytics.js	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/www.google-analytics.com/analytics.js	(from https://levytsroman.github.io/)
22:48:16	674/674	---M--	200	added ('OK')	image/png	etag:%225be20e11-2a2%22	https://levytsroman.github.io/assets/images/favicon.png	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/levytsroman.github.io/assets/images/favicon.png	(from https://levytsroman.github.io/)
22:48:16	141522/141522	---MCZ	200	added ('OK')	text/css	etag:W/%225afd49b7-228d2%22	https://cdnjs.cloudflare.com/ajax/libs/materialize/0.100.2/css/materialize.min.css	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/cdnjs.cloudflare.com/ajax/libs/materialize/0.100.2/css/materialize.min.css	(from https://levytsroman.github.io/)
22:48:18	23270/23270	---MCZ	200	added ('OK')	text/css	etag:W/%22486ec989dcb9b6d6d0ea54982f44e9f452ceb35a%22	https://cdn.rawgit.com/konpa/devicon/df6431e323547add1b4cf45992913f15286456d3/devicon.min.css	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/cdn.rawgit.com/konpa/devicon/df6431e323547add1b4cf45992913f15286456d3/devicon.min.css	(from https://levytsroman.github.io/)
22:48:19	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221544639720%22	https://maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/maxcdn.bootstrapcdn.com/font-awesome/4.7.0/css/font-awesome.min.css	(from https://levytsroman.github.io/)
22:48:19	24234/24234	---M-Z	200	added ('OK')	text/css	etag:W/%225be20e11-5eaa%22	https://levytsroman.github.io/assets/css/main.css	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/levytsroman.github.io/assets/css/main.css	(from https://levytsroman.github.io/)
22:48:19	13085/13085	---M-Z	200	added ('OK')	text/html	etag:W/%225be20e14-331d%22	https://levytsroman.github.io/about	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/levytsroman.github.io/about.html	(from https://levytsroman.github.io/)
22:48:19	15661/15661	---M-Z	200	added ('OK')	text/html	etag:W/%225be20e14-3d2d%22	https://levytsroman.github.io/projects	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/levytsroman.github.io/projects.html	(from https://levytsroman.github.io/)
22:48:20	6730/6730	---M-Z	200	added ('OK')	text/html	etag:W/%225be20e14-1a4a%22	https://levytsroman.github.io/resume	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/levytsroman.github.io/resume.html	(from https://levytsroman.github.io/)
22:48:20	8859/8859	---M-Z	200	added ('OK')	text/html	etag:W/%225be20e14-229b%22	https://levytsroman.github.io/contact	C:/Users/Neel%20Borno/Desktop/downloaded%20cv/CV/levytsroman.github.io/contact.html	(from https://levytsroman.github.io/)
